CENSUS v1 records=6340 census_bytes=2428788736 census_default_heap=2343329792 census_upload_readback=85458944 d3d12ma_allocated=2428788736 d3d12ma_blocks=2610561024 driver_usage=2983800832 driver_budget=16165400576 swapchain=14764032 pso_creates=6765 pso_compiles=47 pso_driver_eager=1 descheap_bytes=32032768 cmdalloc=38 pso_compile_ms=13.3 pso_compile_max_ms=1.0 d3d12ma_allocated_video=2343329792 d3d12ma_blocks_video=2463760384
# STAGES label driver_usage_bytes census_bytes pso_creates
# STAGE device_created       0 0 0
# kind bytes w h d mips arr samples fmt bind misc usage alias "name"
T 1048576 512 512 1 1 1 1 R8G8B8A8_UNORM 0x8 0x0 0 0 "imageTex"
T 1048576 4096 64 1 1 1 1 R8G8B8A8_UNORM 0x18 0x0 0 0 "renderTex"
T 1048576 4096 64 1 1 1 1 R8G8B8A8_UNORM 0x18 0x0 0 0 "renderTex"
T 1048576 4096 64 1 1 1 1 R8G8B8A8_UNORM 0x8 0x0 0 0 "imageTex"
T 1048576 512 512 1 1 1 1 R8G8B8A8_UNORM 0x8 0x0 0 0 "imageTex"
T 1048576 4096 64 1 1 1 1 R8G8B8A8_UNORM 0x18 0x0 0 0 "renderTex"
T 1048576 512 512 1 1 1 1 R8G8B8A8_UNORM 0x8 0x0 0 0 "imageTex"
T 1048576 4096 64 1 1 1 1 R8G8B8A8_UNORM 0x18 0x0 0 0 "renderTex"
T 1048576 4096 64 1 1 1 1 R8G8B8A8_UNORM 0x8 0x0 0 0 "imageTex"
T 1048576 512 512 1 1 1 1 R8G8B8A8_UNORM 0x8 0x0 0 0 "imageTex"
T 1048576 4096 64 1 1 1 1 R8G8B8A8_UNORM 0x18 0x0 0 0 "renderTex"
T 1048576 4096 64 1 1 1 1 R8G8B8A8_UNORM 0x8 0x0 0 0 "imageTex"
T 1048576 4096 64 1 1 1 1 R8G8B8A8_UNORM 0x8 0x0 0 0 "imageTex"
